Model Functioning Without Errors,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072
,,,,Construction Expenditures,68713906.85880601,119163059.6193962,112299860.38705425,65988265.338202685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Revenue,0,0,0,72188732.8816561,293460275.8089942,299945463.85729593,307248677.2234522,313367634.76643276,320338507.19272536,327367775.10960895,335562746.20190907,342256833.9723413,349826586.69264656,357776399.72502303,366757870.6954487,374012270.33506125,382573349.46013016,391279013.90155625,401047634.54287136,409276952.15846336,418652000.5798311,428105584.443881,439126909.48093706,448129713.3119152,458310189.1477618,469001803.8498523,481080883.78327054,490837244.78520185,375993915.73620147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Operating Costs,0,0,0,63368732.881656095,258180275.8089942,264705493.98177505,272194490.5685742,278508585.7358941,285547595.2663241,292836368.2899102,301272057.58457565,308050340.68859243,316054224.51925385,324707541.0949018,333817787.1957298,341563077.2548226,350911471.76113456,359780491.3311329,370127292.60222375,379225350.0371867,388810025.57571316,398908522.7956325,410930996.5885806,420176675.09887695,431088533.1043624,442874741.74818105,455300584.9542513,465858811.3350579,358155125.7668872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,EBITDA,0,0,0,0,35279999.999999985,35279999.999999985,35117474.18289921,34861663.742029265,34851076.69718072,34607467.74497874,34296817.03243816,34274680.65323225,33998587.95948404,33082593.001025915,33020829.139176443,32700040.619786605,31684351.44686973,31593354.57111141,31198260.11277449,30084077.998523608,29952582.20247136,29504730.355821103,28239796.17035593,28081285.875932977,27562007.26196362,26183915.021921366,25928245.800780877,25354674.147940204,23831264.335545853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Less Working Capital Change,0,0,0,0,187833.38157202303,376577.89863876253,348445.582716167,350972.2307051644,403770.1480852142,359909.02869365364,372380.92508185655,432479.51586194336,385186.74974838644,299211.66747935116,460700.24199834466,409643.7355719283,317120.1847317293,490703.895029515,435584.4583887458,336013.7064433843,522597.81000193954,463092.49531424046,355937.8296649009,556495.2871161103,492255.50395420194,376939.33990632,592515.8744722456,523165.35578623414,399066.1243221462,-33013691.174743608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Add Interest Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Less Taxes,0,0,0,0,2048706.8799197138,2197699.7655575764,2320024.0845980607,2428565.4785752995,2591897.408491233,2715238.8630893165,2831380.566860062,3010387.9429327743,3146211.4751799647,3160047.6841449672,3348815.65184928,3492483.831574035,3450505.1577704498,3432305.7826187853,3353286.8909514016,3130450.468101225,3104151.308890775,3014580.9395607235,2761594.1024676887,2729892.043583098,2626036.3207892263,2350417.8727807757,2299284.0285526775,2184569.6979845427,1879887.7355056752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Subtotal Cashflow Available For Debt Service,0,0,0,0,33043459.738508247,32705722.335803647,32449004.51558498,32082126.0327488,31855409.140604272,31532319.85319577,31093055.54049624,30831813.194437526,30467189.73455569,29623333.649401598,29211313.24532882,28797913.052640643,27916726.104367554,27670344.893463112,27409388.763434343,26617613.823978998,26325833.083578646,26027056.92094614,25122264.23822334,24794898.545233767,24443715.437220193,23456557.80923427,23036445.897755954,22646939.094169427,21552310.475718033,33013691.174743608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Less Senior Debt Repayment,0,0,0,0,14813406.01031471,15298572.436423559,15875244.602404708,16391547.79559455,17044396.88068082,17656182.884789757,18209646.49103058,18925864.099785656,19600594.870245323,19936650.808025315,20625315.73603268,21346445.005824614,-9.052455425262453e-09,-9.510735981166363e-09,-9.992216990212909e-09,-1.0498072975342438e-08,-1.1029537919719149e-08,-1.1587908276904932e-08,-1.2174546133423243e-08,-1.2790882531427793e-08,-1.3438420959581323e-08,-1.4118741020660125e-08,-1.4833502284831047e-08,-1.5584448338000616e-08,-1.6373411035111897e-08,-1.7202314968764438e-08,-1.807318216405814e-08,-1.8988137011113583e-08,-1.994941144730121e-08,-2.095935040182083e-08,-2.202041751591301e-08,-2.3135201152656106e-08,-2.4306420711009323e-08,-2.553693325950417e-08,-2.6829740505766568e-08,-2.8187996118871002e-08,-2.9615013422388846e-08,-1.5365073321924582e-08,0,0,0,0,
,,,,Less Senior Debt Interest,0,0,0,0,10604639.942383941,9859675.51419463,9085528.101891428,8287010.691135293,7459763.996707078,6599447.771514684,5708088.540120374,4790915.280550901,3835704.9255667436,2850528.922283605,1844925.221912567,805795.8038989566,9.052455425262453e-09,9.510735981166363e-09,9.992216990212909e-09,1.0498072975342438e-08,1.1029537919719149e-08,1.1587908276904932e-08,1.2174546133423243e-08,1.2790882531427793e-08,1.3438420959581323e-08,1.4118741020660125e-08,1.4833502284831047e-08,1.5584448338000616e-08,1.6373411035111897e-08,1.7202314968764438e-08,1.807318216405814e-08,1.8988137011113583e-08,1.994941144730121e-08,2.095935040182083e-08,2.202041751591301e-08,2.3135201152656106e-08,2.4306420711009323e-08,2.553693325950417e-08,2.6829740505766568e-08,2.8187996118871002e-08,2.9615013422388846e-08,1.5365073321924582e-08,0,0,0,0,
,,,,Subtotal CF After Senior Debt,0,0,0,0,7625413.785809599,7547474.385185457,7488231.811288843,7403567.546018955,7351248.263216371,7276689.196891332,7175320.509345287,7115033.81410097,7030889.938743621,6836153.9190926775,6741072.287383575,6645672.242917072,27916726.104367554,27670344.893463112,27409388.763434343,26617613.823978998,26325833.083578646,26027056.92094614,25122264.23822334,24794898.545233767,24443715.437220193,23456557.80923427,23036445.897755954,22646939.094169427,21552310.475718033,33013691.174743608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Add Withdrawals from Debt Service Reserve Account,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Less Contributions/Top Up to Debt Service Reserve Account,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Subtotal After Debt Service Reserve Account,0,0,0,0,7625413.785809599,7547474.385185457,7488231.811288843,7403567.546018955,7351248.263216371,7276689.196891332,7175320.509345287,7115033.81410097,7030889.938743621,6836153.9190926775,6741072.287383575,6645672.242917072,27916726.104367554,27670344.893463112,27409388.763434343,26617613.823978998,26325833.083578646,26027056.92094614,25122264.23822334,24794898.545233767,24443715.437220193,23456557.80923427,23036445.897755954,22646939.094169427,21552310.475718033,33013691.174743608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Less Cash Sweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Subtotal After Sweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Less Cash Trapped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Subtotal CF Available for Subhordinated-Debt,0,0,0,0,7625413.785809599,7547474.385185457,7488231.811288843,7403567.546018955,7351248.263216371,7276689.196891332,7175320.509345287,7115033.81410097,7030889.938743621,6836153.9190926775,6741072.287383575,6645672.242917072,27916726.104367554,27670344.893463112,27409388.763434343,26617613.823978998,26325833.083578646,26027056.92094614,25122264.23822334,24794898.545233767,24443715.437220193,23456557.80923427,23036445.897755954,22646939.094169427,21552310.475718033,33013691.174743608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Less Interest on the Subhordinated-Debt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Less repayment of Subhordinated-Debt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Equity Cashflows,-68713906.85880601,-99122959.17393753,0,0,7625413.785809599,7547474.385185457,7488231.811288843,7403567.546018955,7351248.263216371,7276689.196891332,7175320.509345287,7115033.81410097,7030889.938743621,6836153.9190926775,6741072.287383575,6645672.242917072,27916726.104367554,27670344.893463112,27409388.763434343,26617613.823978998,26325833.083578646,26027056.92094614,25122264.23822334,24794898.545233767,24443715.437220193,23456557.80923427,23036445.897755954,22646939.094169427,21552310.475718033,33013691.174743608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,
,,,,Equity Value,-270264411.03102666,733138552.9913096,1382507791.1063058,990094324.9127669,323702771.10551226,331207679.57088995,339570768.70429087,384462780.0923723,393925145.6032015,423066738.11699927,433494526.4493942,444927599.19141734,457141762.9331752,470027816.90519917,484572210.44444793,500217166.32555854,484277821.78189623,457424799.4493905,429219163.1012899,400076288.25573677,370503872.9324709,339496626.5930301,307355018.30058634,275001729.208459,241020994.71459895,205866145.05006486,170327027.73454702,133328976.41097192,94991740.44215594,,,,,,,,,,,,,,0,0,0,0,
,,,,Project Value,-355292681.3180054,614363662.9902674,2128271582.3825698,2246555155.210669,747239956.9215889,728854461.2796254,711237459.0657892,709902674.7586768,689610063.8456008,676189743.1101371,653361485.1620972,629744330.5228587,604800206.2255571,578970675.6258647,552875208.5185412,525662652.94624364,497426956.6035089,468928519.9877635,439137777.2818825,408490915.34337324,377497652.93455404,345164557.9710964,311801099.277406,278346749.66618055,243395721.7776393,207417321.13746226,171210135.1753791,133721073.36378741,95086043.9806417,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,
,,,,Discount Rate,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08999999999999998,0.08,0.08,0.08,0.07,0.07,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,,,,,
,,,,Discount Factor,1,1.09,1.1881000000000002,1.2950290000000002,1.3604889600000003,1.4693280768000003,1.5868743229440005,1.6057814764784302,1.7181861798319202,1.7625703899242806,1.8771374652693587,1.9991514005118667,2.1290962415451378,2.267487497245572,2.414874184566534,2.571841006563358,2.739010671989976,2.917046365669324,3.1066543794378303,3.308586914101289,3.5236450635178724,3.752681992646534,3.996606322168558,4.256385733109513,4.533050805761632,4.827699108136138,5.141499550164986,5.475697020925709,5.83161732728588,6.210672453559463,6.6143661630408275,7.04429996363848,7.50217946127498,7.989821126257853,8.509159499464612,9.06225486692981,9.65130143328025,10.278636026443465,10.946747368162288,11.658285947092835,12.41607453365387,13.223119378341371,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Decomissioning Year,2054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,For Charts,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,
,,,,Revenue,0,0,0,72188732.8816561,293460275.8089942,299945463.85729593,307248677.2234522,313367634.76643276,320338507.19272536,327367775.10960895,335562746.20190907,342256833.9723413,349826586.69264656,357776399.72502303,366757870.6954487,374012270.33506125,382573349.46013016,391279013.90155625,401047634.54287136,409276952.15846336,418652000.5798311,428105584.443881,439126909.48093706,448129713.3119152,458310189.1477618,469001803.8498523,481080883.78327054,490837244.78520185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Operating Costs,0,0,0,-63368732.881656095,-258180275.8089942,-264705493.98177505,-272194490.5685742,-278508585.7358941,-285547595.2663241,-292836368.2899102,-301272057.58457565,-308050340.68859243,-316054224.51925385,-324707541.0949018,-333817787.1957298,-341563077.2548226,-350911471.76113456,-359780491.3311329,-370127292.60222375,-379225350.0371867,-388810025.57571316,-398908522.7956325,-410930996.5885806,-420176675.09887695,-431088533.1043624,-442874741.74818105,-455300584.9542513,-465858811.3350579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Construction Expenditures,-68713906.85880601,-119163059.6193962,-112299860.38705425,-65988265.338202685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,EBITDA,0,0,0,0,35279999.999999985,35279999.999999985,35117474.18289921,34861663.742029265,34851076.69718072,34607467.74497874,34296817.03243816,34274680.65323225,33998587.95948404,33082593.001025915,33020829.139176443,32700040.619786605,31684351.44686973,31593354.57111141,31198260.11277449,30084077.998523608,29952582.20247136,29504730.355821103,28239796.17035593,28081285.875932977,27562007.26196362,26183915.021921366,25928245.800780877,25354674.147940204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Less Working Capital Change,0,0,0,0,-187833.38157202303,-376577.89863876253,-348445.582716167,-350972.2307051644,-403770.1480852142,-359909.02869365364,-372380.92508185655,-432479.51586194336,-385186.74974838644,-299211.66747935116,-460700.24199834466,-409643.7355719283,-317120.1847317293,-490703.895029515,-435584.4583887458,-336013.7064433843,-522597.81000193954,-463092.49531424046,-355937.8296649009,-556495.2871161103,-492255.50395420194,-376939.33990632,-592515.8744722456,-523165.35578623414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Add Interest Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Less Taxes,0,0,0,0,-2048706.8799197138,-2197699.7655575764,-2320024.0845980607,-2428565.4785752995,-2591897.408491233,-2715238.8630893165,-2831380.566860062,-3010387.9429327743,-3146211.4751799647,-3160047.6841449672,-3348815.65184928,-3492483.831574035,-3450505.1577704498,-3432305.7826187853,-3353286.8909514016,-3130450.468101225,-3104151.308890775,-3014580.9395607235,-2761594.1024676887,-2729892.043583098,-2626036.3207892263,-2350417.8727807757,-2299284.0285526775,-2184569.6979845427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Subtotal Cashflow Available For Debt Service,0,0,0,0,33043459.738508247,32705722.335803647,32449004.51558498,32082126.0327488,31855409.140604272,31532319.85319577,31093055.54049624,30831813.194437526,30467189.73455569,29623333.649401598,29211313.24532882,28797913.052640643,27916726.104367554,27670344.893463112,27409388.763434343,26617613.823978998,26325833.083578646,26027056.92094614,25122264.23822334,24794898.545233767,24443715.437220193,23456557.80923427,23036445.897755954,22646939.094169427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Less Senior Debt Repayment,0,0,0,0,-14813406.01031471,-15298572.436423559,-15875244.602404708,-16391547.79559455,-17044396.88068082,-17656182.884789757,-18209646.49103058,-18925864.099785656,-19600594.870245323,-19936650.808025315,-20625315.73603268,-21346445.005824614,9.052455425262453e-09,9.510735981166363e-09,9.992216990212909e-09,1.0498072975342438e-08,1.1029537919719149e-08,1.1587908276904932e-08,1.2174546133423243e-08,1.2790882531427793e-08,1.3438420959581323e-08,1.4118741020660125e-08,1.4833502284831047e-08,1.5584448338000616e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Less Senior Debt Interest,0,0,0,0,-10604639.942383941,-9859675.51419463,-9085528.101891428,-8287010.691135293,-7459763.996707078,-6599447.771514684,-5708088.540120374,-4790915.280550901,-3835704.9255667436,-2850528.922283605,-1844925.221912567,-805795.8038989566,-9.052455425262453e-09,-9.510735981166363e-09,-9.992216990212909e-09,-1.0498072975342438e-08,-1.1029537919719149e-08,-1.1587908276904932e-08,-1.2174546133423243e-08,-1.2790882531427793e-08,-1.3438420959581323e-08,-1.4118741020660125e-08,-1.4833502284831047e-08,-1.5584448338000616e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Add Withdrawals from Debt Service Reserve Account,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Less Contributions/Top Up to Debt Service Reserve Account,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Less Cash Trapped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Less Interest on the Subhordinated-Debt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Less repayment of Subhordinated-Debt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Equity Cashflows,-68713906.85880601,-99122959.17393753,0,0,7625413.785809599,7547474.385185457,7488231.811288843,7403567.546018955,7351248.263216371,7276689.196891332,7175320.509345287,7115033.81410097,7030889.938743621,6836153.9190926775,6741072.287383575,6645672.242917072,27916726.104367554,27670344.893463112,27409388.763434343,26617613.823978998,26325833.083578646,26027056.92094614,25122264.23822334,24794898.545233767,24443715.437220193,23456557.80923427,23036445.897755954,22646939.094169427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,
,,,,Revenue,0,0,0,55742946.97775578,215702063.32949156,204137842.72777048,193618784.2862303,195149613.6657808,186439927.7289392,185733163.8957537,178763011.45252445,171201057.55107352,164307549.77932268,157785390.28754583,151874525.40567085,145425891.17312425,139675742.5491076,134135342.68995969,129093096.80449346,123701435.92544408,118812193.91656463,114079899.46463987,109874947.41355133,105284093.45657048,101104136.8795684,97148101.68252656,93568204.97394249,89639226.36870474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,Operating Costs,0,0,0,-48932288.68361719,-189770210.12283272,-180154111.36651534,-171528700.56123513,-173441149.87967056,-166191300.2316533,-166141658.77510875,-160495468.8501435,-154090550.92561704,-148445250.3142298,-143201469.2426485,-138234028.6418067,-132808784.20678067,-128116138.92186354,-123337254.95946318,-119140157.67315601,-114618524.42833458,-110343130.07324867,-106299580.82707325,-102819983.62190688,-98716775.55687976,-95098985.5565786,-91736193.95662059,-88554045.47096403,-85077536.16658302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
