Model Functioning Without Errors,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124
,,,Financial Close Switch,Start/End,2026-05-01 00:00:00,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,Commencement of Operations Switch,Start/End,2029-09-01 00:00:00,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,Conversion Switch,Start/End,2029-08-01 00:00:00,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Transferred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total Capital Expenditures Excl. Value-Added Tax,,,,,,,9107377.817542985,6942179.859049316,7730154.903165713,8296185.105584889,8722202.01464832,9048978.687613953,9300409.89551855,9492024.201994617,9634665.789877621,9736320.141516102,9803111.739397537,9839890.69421963,9850598.032124065,9838503.937651891,9806369.203445923,9756558.229716165,9691120.33205259,9611849.669759631,9520330.360869123,9417971.090575606,9306032.112208433,9185646.637589442,9057838.02053733,8923533.738566468,8783576.904326633,8638735.847272446,8489712.170363497,8337147.58877022,8181629.7860540105,8023697.470356301,7863844.773487303,7702525.105792561,7540154.556726528,7377114.913350902,7213756.355187535,7050399.873035113,6887339.45080238,6724844.042596707,6563159.371843914,6402509.574808085,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,Total Capital Expenditures Excl. Value-Added Tax Inc. Initial Working Capital,,,,,,,9107391.780821197,6942385.4084273735,7731112.2956116,8298969.006258302,8728455.218421407,9060908.575398976,9320744.33990409,9523940.233963067,9681701.507494077,9802277.997454377,9891959.413598185,9955664.177556388,9997310.26219133,10020061.291841287,10026497.327180227,10018738.024663262,9998534.420975449,9967339.26633859,9926362.183083538,9876613.747019479,9818941.246800119,9754058.026685009,9682567.766702482,9604984.688204832,9521750.424519174,9433248.12436164,9339814.233924437,9241748.315489935,9139321.195320394,9032781.68433569,8922362.0770008,8808282.603709728,8690754.987595188,8569985.236610271,8446175.784871925,8319527.082887336,8190238.723876761,8058510.182579806,7924541.233407607,7788532.106373804,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,Revenue,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,144073402.5901458,147785299.6138112,147268865.08588207,151074576.73190537,151201363.30025786,154364773.18312755,153822230.24661374,157820338.84157565,157264084.34849763,161363241.31445283,160678236.3142888,164877626.4461616,165106146.43768322,168598892.7078163,167999867.45910645,172414211.1661471,171676535.70339233,176198819.56712368,175569636.09455073,180206216.31742847,180458527.74140692,184314896.9965943,183520501.2064612,188390506.30290225,187712944.5198835,192706034.29396093,192011348.65568876,197130633.9984733,197265184.85361728,201519619.45159903,200789959.51960784,206166971.0870952,205418870.63591778,210931781.02826238,210010525.4589889,215658238.3159949,215965572.2987092,220662927.72333914,219857305.3609079,225794106.8788889,224802015.39310926,230883984.42151093,230037802.60084707,236273487.52531677,236612818.3396551,241799206.2531237,240730832.23294526,247280447.66117138,246369202.39145306,253084353.02706832,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,EBITDA,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,17640000,17639999.999999985,17640000.000000007,17639999.999999978,17559688.85414034,17557785.328758866,17433859.605625615,17427804.13640365,17428642.70759502,17422433.989585698,17308601.36639346,17298866.37858528,17154166.10528013,17142650.927158028,17144616.38773516,17130064.26549709,17008568.278854474,16990019.680629566,16557200.369944409,16525392.631081507,16523644.434083894,16497184.70509255,16368692.9259087,16331347.693877906,15868199.452829182,15816151.994040549,15823359.61048165,15769994.960629761,15623033.014127657,15575227.098646834,15079644.806982517,15004433.19154109,15014848.6179353,14937733.58453606,14794164.05012469,14710566.305696413,14161126.017205283,14078670.153150648,14092744.07788144,13988541.798051536,13836863.082069457,13725144.179894164,13157790.990100637,13026124.03182073,13018887.435024813,12909358.365756065,12749172.23536244,12605501.912577763,11998493.102159664,11832771.233386189,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,Initial Working Capital,,,,,,,13.963278211706387,205.5493780575327,957.3924458875928,2783.9006734133272,6253.203773087758,11929.88778502248,20334.444385539064,31916.031968449708,47035.71761645557,65957.85593827465,88847.67420064873,115773.48333675793,146712.23006726376,181557.3541893951,220128.1237343048,262179.79494709685,307414.08892285894,355489.5965789587,406031.82221441437,458642.6564438734,512909.13459168514,568411.3890955676,624729.7461651531,681450.9496383648,738173.5201925412,794512.2770891935,850102.0635609403,904600.7267197147,957691.4092663825,1009084.2139793895,1058517.303513497,1105757.497917166,1150600.4308686592,1192870.3232593685,1232419.4296843894,1269127.2098522224,1302899.273074381,1333666.139983099,1361381.8615636937,1386022.5315657184,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,Working Capital Changes,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,181997.39518849552,5835.986383527517,366071.42144624144,10506.477192521095,243156.14169497788,105289.4410211891,331792.5763825476,19179.654322616756,379582.7806155905,24187.367469623685,331258.8016387075,28650.227054946125,248651.09002900124,123729.83505285531,393847.9735632688,38631.54229867458,341778.9494693801,43407.80027900636,252095.47318772227,47116.1942916289,317408.30329184234,143291.93870650232,351734.45646980405,57909.279102124274,255280.68122819066,61839.50350353867,422778.71125292033,67925.1837765947,271796.1593955159,163788.29899322987,258523.3047586903,77490.40168469399,438626.2784499377,83971.53155200183,373379.02155937254,89713.47375486791,171351.1383843869,184586.691280514,455469.3865415901,101025.90057452023,385126.1904027313,107129.31355147064,265138.9124711603,111800.42743515968,382905.16521050036,209610.7092617452,397530.3950315118,125634.96075472236,268486.030192703,130580.09412944317,-33013691.174743608,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,Value-Added Tax,,,,36276509,,,570739.1780821198,694238.5408427374,773111.2295611601,829896.9006258303,872845.5218421407,906090.8575398977,932074.4339904091,952394.0233963067,968170.1507494077,980227.7997454377,989195.9413598186,995566.4177556388,999731.0262191329,1002006.1291841287,1002649.7327180228,1001873.8024663263,999853.4420975449,996733.926633859,992636.2183083537,987661.3747019479,981894.124680012,975405.8026685009,968256.7766702482,960498.4688204833,952175.0424519174,943324.812436164,933981.4233924438,924174.8315489935,913932.1195320393,903278.168433569,892236.2077000801,880828.2603709726,869075.4987595186,856998.5236610272,844617.5784871925,831952.7082887335,819023.8723876762,805851.0182579807,792454.1233407608,778853.2106373805,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,Value-Added Tax Refunds,,,,36276509,True,,False,False,570739.1780821198,694238.5408427374,773111.2295611601,829896.9006258303,872845.5218421407,906090.8575398977,932074.4339904091,952394.0233963067,968170.1507494077,980227.7997454377,989195.9413598186,995566.4177556388,999731.0262191329,1002006.1291841287,1002649.7327180228,1001873.8024663263,999853.4420975449,996733.926633859,992636.2183083537,987661.3747019479,981894.124680012,975405.8026685009,968256.7766702482,960498.4688204833,952175.0424519174,943324.812436164,933981.4233924438,924174.8315489935,913932.1195320393,903278.168433569,892236.2077000801,880828.2603709726,869075.4987595186,856998.5236610272,844617.5784871925,831952.7082887335,819023.8723876762,805851.0182579807,1571307.3339781412,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,Generation (MWh),,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1042560,1059840,1042560,1059840,1048320,1059840,1042560,1059840,1042560,1059840,1042560,1059840,1048320,1059840,1042560,1059840,1042560,1059840,1042560,1059840,1048320,1059840,1042560,1059840,1042560,1059840,1042560,1059840,1048320,1059840,1042560,1059840,1042560,1059840,1042560,1059840,1048320,1059840,1042560,1059840,1042560,1059840,1042560,1059840,1048320,1059840,1042560,1059840,1042560,1059840,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
